0	1	2
Time	[2330 1846]	[2295 2360]
2011-06-07 06:59:31.840000	5856	4566
2011-06-07 07:03:31.840000	5679	4584
2011-06-07 07:05:31.840000	5600	4655
2011-06-07 06:16:31.840000	1965	3149
2011-06-07 07:07:31.840000	5066	4531
2011-06-07 07:09:31.840000	4508	4566
2011-06-07 06:25:31.840000	1839	3076
2011-06-07 06:27:31.840000	2091	3163
2011-06-07 06:29:31.840000	2846	3251
2011-06-07 06:33:31.840000	3816	3633
2011-06-07 06:35:31.840000	4197	3774
2011-06-07 06:37:31.840000	4719	3953
2011-06-07 06:39:31.840000	5521	4102
2011-06-07 06:43:31.840000	5560	4460
2011-06-07 06:45:31.840000	5935	4513
2011-06-07 06:47:31.840000	5876	4531
2011-06-07 06:49:31.840000	5758	4513
2011-06-07 06:53:31.840000	5600	4602
2011-06-07 06:55:31.840000	5817	4531
2011-06-07 06:57:31.840000	5837	4566
2011-06-07 06:59:31.840000	5856	4566
2011-06-07 07:03:31.840000	5679	4584
2011-06-07 07:05:31.840000	5600	4655
2011-06-07 07:07:31.840000	5066	4531
2011-06-07 07:09:31.840000	4508	4566
2011-06-07 07:01:31.840000	6014	4778
2011-06-07 07:11:31.840000	5029	4425
